"Domain","Function","Process_Id","Thread_Id","Correlation_Id","Start_Timestamp","End_Timestamp"
"HSA_CORE_API","hsa_system_get_major_extension_table",57,57,1,1056813747808832,1056813747809252
"HSA_CORE_API","hsa_agent_get_info",57,57,3,1056813747826572,1056813747826672
"HSA_CORE_API","hsa_agent_get_info",57,57,4,1056813747837582,1056813747837622
"HSA_CORE_API","hsa_agent_get_info",57,57,5,1056813747838542,1056813747838582
"HSA_CORE_API","hsa_agent_get_info",57,57,6,1056813747839042,1056813747839082
"HSA_CORE_API","hsa_agent_get_info",57,57,7,1056813747839512,1056813747839622
"HSA_CORE_API","hsa_iterate_agents",57,57,2,1056813747821012,1056813747839832
"HSA_CORE_API","hsa_agent_get_info",57,57,8,1056813747843832,1056813747844132
"HSA_CORE_API","hsa_agent_get_info",57,57,9,1056813747844482,1056813747844542
"HSA_CORE_API","hsa_agent_iterate_isas",57,57,10,1056813747849402,1056813747850422
"HSA_CORE_API","hsa_isa_get_info_alt",57,57,11,1056813747853542,1056813747875253
"HSA_CORE_API","hsa_isa_get_info_alt",57,57,12,1056813747875883,1056813747878353
"HSA_CORE_API","hsa_agent_get_info",57,57,13,1056813747886343,1056813747886403
"HSA_CORE_API","hsa_agent_get_info",57,57,54,1056813748282015,1056813748282085
"HSA_CORE_API","hsa_system_get_info",57,57,55,1056813748282465,1056813748282505
"HSA_CORE_API","hsa_signal_create",57,57,56,1056813749083419,1056813749085399
"HSA_CORE_API","hsa_agent_get_info",57,57,57,1056813749741363,1056813749741443
"HSA_CORE_API","hsa_queue_create",57,57,58,1056813749744053,1056813856914188
"HSA_CORE_API","hsa_signal_create",57,57,59,1056813857149169,1056813857154109
"HSA_CORE_API","hsa_signal_create",57,57,60,1056813857154929,1056813857155389
"HSA_CORE_API","hsa_signal_create",57,57,61,1056813857155949,1056813857156429
"HSA_CORE_API","hsa_signal_create",57,57,62,1056813857157169,1056813857157349
"HSA_CORE_API","hsa_executable_create_alt",57,57,63,1056813965439362,1056813965466952
"HSA_CORE_API","hsa_code_object_reader_create_from_memory",57,57,64,1056813965476642,1056813965587493
"HSA_CORE_API","hsa_executable_load_agent_code_object",57,57,65,1056813965592483,1056813965965295
"HSA_CORE_API","hsa_signal_create",57,57,67,1056813966149786,1056813966151706
"HSA_CORE_API","hsa_signal_wait_scacquire",57,57,68,1056813966156596,1056813966158646
"HSA_CORE_API","hsa_signal_destroy",57,57,69,1056813966162276,1056813966163746
"HSA_CORE_API","hsa_executable_freeze",57,57,66,1056813965973105,1056813966778050
"HSA_CORE_API","hsa_executable_get_symbol_by_name",57,57,70,1056813966800070,1056813966801880
"HSA_CORE_API","hsa_executable_symbol_get_info",57,57,71,1056813966805750,1056813966805980
"HSA_CORE_API","hsa_executable_symbol_get_info",57,57,72,1056813966806300,1056813966806340

